,Location,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
36,Croatia,2.1162915,2.108722,2.1069725,2.1085565,2.1111083,2.1121697,2.109336,2.1036837,2.0971086,2.091834,2.0902727,2.0982087,2.115339,2.1345613,2.148767,2.1507359,2.1124578,2.0752475,2.085518,2.1233315
37,Cuba,1.3853433,1.3888128,1.3887551,1.3876183,1.3878739,1.3920044,1.4088277,1.4392046,1.4734956,1.5020617,1.5153008,1.5161451,1.5144752,1.5110639,1.5067657,1.5024275,1.466371,1.4316766,1.4312469,1.4442638
38,Cyprus,1.6883389,1.6873698,1.6846973,1.6812478,1.6779603,1.6757182,1.6741961,1.6724787,1.6705948,1.6685433,1.66632,1.6603261,1.6490713,1.6358188,1.6239102,1.6166875,1.6103603,1.6070219,1.6243095,1.6624243
39,Czechia,2.1882133,2.1998284,2.2164297,2.2340677,2.2487276,2.2564592,2.255897,2.2501605,2.2419765,2.2341547,2.2295852,2.2290833,2.2305598,2.232572,2.233655,2.232327,2.210859,2.1916227,2.2086535,2.2526274
40,Denmark,2.8621795,2.8894322,2.916318,2.9394567,2.9546664,2.9584374,2.9474096,2.9248939,2.8972566,2.8702247,2.8500092,2.836136,2.8240175,2.8142526,2.806787,2.8018088,2.7884135,2.7755802,2.766275,2.751015
41,Djibouti,1.4621758,1.4579856,1.4504855,1.4404235,1.4294894,1.4194878,1.4106786,1.4008409,1.391007,1.3824358,1.375873,1.370694,1.3652169,1.3600237,1.3556151,1.3532225,1.3487418,1.3464344,1.3598723,1.3887908
42,Dominican Republic,1.39494,1.3905882,1.3787615,1.3639681,1.3509295,1.3444735,1.3479285,1.3585384,1.3718613,1.3833747,1.3886809,1.387137,1.3822104,1.3755779,1.3688905,1.3638645,1.328896,1.294325,1.291257,1.295859
43,Ecuador,1.1949146,1.1876832,1.1737285,1.1578194,1.1443912,1.1380763,1.138169,1.1399962,1.1421661,1.1432456,1.1418854,1.1355402,1.1240125,1.1094433,1.0938126,1.0792083,1.0476298,1.0118328,0.9857443,0.9565204
44,Egypt,0.38595363,0.38596842,0.3859223,0.38586718,0.3858755,0.386032,0.38680333,0.3882774,0.38996896,0.3914008,0.39209706,0.3912265,0.3889039,0.38606098,0.3836288,0.38254315,0.3833367,0.3849288,0.38856867,0.39495772
45,El Salvador,3.9409003,3.8934,3.821938,3.7437768,3.675989,3.636389,3.6278968,3.6360164,3.6523113,3.6677134,3.6739311,3.6691487,3.6572752,3.639696,3.6174057,3.591325,3.4902647,3.403123,3.4326622,3.5346274
46,Equatorial Guinea,1.1617522,1.1586629,1.1553165,1.1519104,1.1486018,1.1455295,1.1411968,1.1347426,1.1281115,1.1233622,1.1225679,1.1252886,1.1287968,1.1323818,1.1354151,1.1373543,1.1276146,1.1187563,1.1322658,1.1634514
47,Eritrea,1.8188342,1.8175931,1.8104914,1.7994041,1.7864226,1.7739136,1.7593945,1.7410519,1.7217715,1.7045099,1.6924458,1.684568,1.6777133,1.6715235,1.6656184,1.6596358,1.6498759,1.6422933,1.6451818,1.6562773
48,Estonia,2.1942978,2.1767726,2.1394014,2.092976,2.0487688,2.0176268,1.9902103,1.9549752,1.9187466,1.8888222,1.8723104,1.8675345,1.8675245,1.8700083,1.8727237,1.8735507,1.8618358,1.8404098,1.7964996,1.720889
49,Eswatini,2.3976786,2.4022598,2.4052327,2.4067068,2.4065595,2.4051538,2.3947043,2.3714986,2.342001,2.313928,2.2953575,2.2848594,2.275525,2.2665675,2.2571535,2.2459936,2.174919,2.1122816,2.132238,2.1987474
50,Ethiopia,2.2111452,2.201111,2.1901946,2.1797912,2.1721816,2.1700206,2.2157853,2.325574,2.456254,2.5655134,2.6114829,2.6071293,2.5985346,2.588323,2.578831,2.5728512,2.5729957,2.5754385,2.5826275,2.5967534
51,Fiji,0.5830483,0.5834613,0.58396596,0.58453405,0.5851307,0.5857162,0.5865579,0.5878285,0.5891882,0.5903029,0.5907394,0.58840203,0.5829177,0.57627374,0.5704658,0.56747115,0.5667557,0.5674764,0.57590705,0.59288967
52,Finland,2.5137284,2.5272992,2.5402293,2.5494459,2.5518353,2.5443652,2.521256,2.483526,2.4387696,2.3945317,2.3582172,2.3228922,2.2812738,2.2405999,2.2080436,2.1907213,2.187802,2.1918483,2.2182858,2.2707915
53,France,2.1122968,2.114291,2.1163104,2.1179588,2.1188698,2.1186411,2.1162899,2.1116111,2.105299,2.098063,2.0906231,2.0811305,2.0686715,2.055404,2.0434446,2.0349605,2.0211558,2.00922,2.0147815,2.033507
54,Gabon,1.3233001,1.3155649,1.3017404,1.2849352,1.2681415,1.2545036,1.242688,1.2295322,1.2165703,1.2052233,1.1970884,1.1917759,1.186893,1.1820804,1.177048,1.1716896,1.1542224,1.1388229,1.1489816,1.1786894
55,Gambia,0.49817643,0.4991211,0.49979806,0.50027883,0.50064075,0.50093275,0.5014046,0.50217587,0.5030372,0.5037905,0.5042311,0.50441366,0.50452644,0.50453293,0.50439036,0.50406617,0.4995072,0.4954044,0.5006972,0.5137179
56,Georgia,2.0534902,2.0530128,2.054787,2.0590773,2.06566,2.0749512,2.0914707,2.115206,2.1402469,2.160457,2.1701155,2.1631908,2.1426218,2.1166615,2.0936291,2.082073,2.10231,2.1348052,2.170821,2.2245617
57,Germany,2.266143,2.229818,2.1874886,2.1458452,2.111838,2.09218,2.0827522,2.0750656,2.0693107,2.065631,2.0642426,2.0512006,2.0211685,1.9864472,1.9590616,1.9508466,1.9570098,1.9653769,1.9872966,2.0256312
58,Ghana,0.523736,0.5242954,0.5244315,0.5243686,0.52433276,0.52457947,0.5255591,0.5272127,0.52907807,0.53070015,0.53164834,0.53224224,0.532962,0.53365135,0.53415054,0.5342758,0.531117,0.5285137,0.53451014,0.5481001
59,Greece,1.6762656,1.6767223,1.6755471,1.6736428,1.6717589,1.6705642,1.6701585,1.6699064,1.6694664,1.6684015,1.6661372,1.6581184,1.6428213,1.6244081,1.6072907,1.5952761,1.5837772,1.5768456,1.5979718,1.6472586
60,Grenada,1.4285986,1.4299549,1.4292276,1.4279594,1.4276178,1.4297366,1.4418812,1.4656405,1.4938049,1.5190917,1.5340768,1.5406979,1.5459738,1.5499042,1.5523287,1.5533233,1.512953,1.4713347,1.4663986,1.4663663
61,Guatemala,3.86345,3.7744956,3.652587,3.5264723,3.424272,3.3741176,3.3834682,3.4269047,3.482836,3.5297458,3.546644,3.537669,3.5225642,3.503331,3.4819438,3.4603894,3.3682039,3.2778866,3.2603376,3.2515135
62,Guinea,0.4833478,0.48425558,0.48508856,0.48577207,0.48625097,0.48649248,0.48661542,0.48665315,0.48667803,0.48672616,0.48683336,0.48751023,0.48883712,0.490366,0.4916665,0.49228844,0.48939905,0.48670334,0.49126717,0.5021259
63,Guinea-Bissau,0.54951435,0.5491721,0.5477479,0.5458089,0.5439142,0.54262954,0.5415327,0.540071,0.53853905,0.5372261,0.5364261,0.53599,0.53554016,0.5350073,0.53432995,0.533444,0.53053343,0.5283115,0.532006,0.54085994
64,Guyana,1.8192325,1.8237244,1.8234198,1.8209759,1.81903,1.8202777,1.8353279,1.8663402,1.9033095,1.936235,1.9551095,1.9636787,1.9716376,1.9778322,1.9810408,1.9800646,1.9368907,1.8898851,1.876778,1.8642619
65,Haiti,1.548852,1.5418952,1.5270383,1.5095404,1.4947162,1.4879525,1.4958045,1.5158443,1.5401288,1.5608418,1.5677226,1.5645066,1.5608425,1.5554487,1.5494881,1.5441407,1.5022348,1.4595101,1.4474139,1.4326352
66,Honduras,2.2614465,2.2555597,2.2441807,2.2309587,2.219602,2.2137022,2.2237182,2.2508826,2.2849398,2.3157554,2.3332021,2.3409526,2.3473873,2.3507726,2.3501146,2.3433437,2.2543952,2.1695943,2.1772134,2.229302
67,Hungary,2.7417536,2.6900496,2.6259515,2.5590944,2.4991786,2.455915,2.421641,2.3843722,2.3473172,2.313468,2.285956,2.2619803,2.2380013,2.2161942,2.198531,2.1870458,2.1811366,2.1789234,2.1872275,2.2069023
68,Iceland,1.9423726,1.9435607,1.9454671,1.947866,1.9513801,1.9581687,1.969615,1.9859045,2.0004199,2.008077,2.0097253,2.0106864,2.0149786,2.0215092,2.028368,2.0348911,2.040146,2.0472755,2.0681164,2.1041756
69,India,1.610781,1.6146374,1.6209661,1.6268964,1.6297127,1.6267252,1.5948043,1.5265815,1.4431233,1.3655081,1.3149076,1.2861105,1.2607559,1.2404553,1.2268218,1.2214376,1.2228172,1.2232037,1.1991142,1.1481732
70,Indonesia,0.45599073,0.4559896,0.45567095,0.45531958,0.45518464,0.45557842,0.45827234,0.46358052,0.4697664,0.4750795,0.47776163,0.47763878,0.4761713,0.47411367,0.47221646,0.4712305,0.47145838,0.4722173,0.47657195,0.48535806
71,Iraq,0.43066156,0.42965704,0.42780665,0.4255533,0.42315194,0.42075267,0.41878718,0.41725174,0.41576713,0.41413802,0.41240585,0.40938407,0.40463987,0.39938533,0.39499152,0.39287418,0.3936564,0.39509183,0.39710537,0.4004909
72,Ireland,3.0732713,3.0895305,3.1069753,3.1261005,3.1461608,3.166803,3.1981688,3.2426553,3.28814,3.3226078,3.3339882,3.3230593,3.3029103,3.280213,3.2605698,3.2498944,3.2496674,3.2501197,3.2364836,3.2081392
73,Israel,0.8981966,0.8967669,0.8967229,0.8972055,0.89723486,0.89583546,0.891893,0.88557863,0.87813544,0.8706833,0.8644299,0.85848975,0.8517529,0.8451179,0.8394065,0.8355366,0.8362946,0.8406511,0.85325384,0.87673694
74,Italy,1.4833132,1.4836574,1.4836717,1.4835671,1.4835331,1.4836556,1.4846479,1.4865588,1.4884447,1.489496,1.4888037,1.4801304,1.4619297,1.4402941,1.4213688,1.4112902,1.4129643,1.4224406,1.4486431,1.4942249
75,Jamaica,1.0830444,1.0808129,1.0747849,1.0675081,1.0614028,1.0590632,1.0647657,1.07774,1.0930575,1.1058443,1.1114913,1.1093537,1.1033202,1.0954868,1.087765,1.0821067,1.0554363,1.0309598,1.0341067,1.0495648
76,Japan,0.57338923,0.57079315,0.56792206,0.5651188,0.5627303,0.5611168,0.55965465,0.557832,0.5561458,0.55509007,0.55518156,0.5576602,0.56244403,0.56802845,0.57291216,0.5756109,0.5756513,0.57592165,0.58273256,0.59641594
77,Jordan,0.40879512,0.4074491,0.40566167,0.40382683,0.40279084,0.40287986,0.40350717,0.4042839,0.40523884,0.40610093,0.40643123,0.4053245,0.4028042,0.39956394,0.39657396,0.39506772,0.39491665,0.39559913,0.39979678,0.40793413
78,Kazakhstan,3.2303348,3.3056264,3.3754828,3.4403446,3.4994595,3.5541258,3.6223512,3.7091146,3.7958584,3.8626642,3.890949,3.843234,3.7252867,3.5813146,3.4560642,3.3957036,3.430797,3.4856606,3.504334,3.5086203
79,Kenya,0.7373094,0.7390511,0.7414655,0.7438884,0.74572206,0.7463715,0.7438949,0.73811305,0.7307571,0.7237216,0.7189088,0.7154185,0.7115224,0.7076621,0.7043608,0.7021391,0.70127547,0.7016515,0.7082455,0.7220547
80,Kiribati,0.58410406,0.5827837,0.58119285,0.5796111,0.5783301,0.57761705,0.577276,0.57702094,0.57676625,0.57642335,0.5759193,0.57410866,0.5706972,0.566775,0.5634315,0.5617715,0.56342727,0.56614274,0.57019573,0.5770176
81,Kuwait,0.4098032,0.41024458,0.41037616,0.41020387,0.410008,0.409476,0.40884805,0.4082683,0.40730706,0.4062736,0.40464368,0.40148917,0.39689735,0.3916632,0.38719502,0.38410303,0.38229215,0.3813243,0.3827528,0.38713315
82,Kyrgyzstan,3.8610432,3.8223865,3.7414856,3.6422544,3.5470138,3.4780207,3.4278457,3.3754876,3.3236735,3.2742772,3.2286015,3.1590133,3.0546148,2.9424508,2.849642,2.8032339,2.8395655,2.897146,2.9361274,2.9863436
83,Latvia,2.4499073,2.4132113,2.3511732,2.2818427,2.2225354,2.1894767,2.176082,2.1637728,2.1536753,2.1462936,2.141593,2.1481347,2.1677513,2.1925125,2.2132728,2.2210982,2.1894999,2.151242,2.1378303,2.1268578
84,Lebanon,0.41611835,0.41391766,0.41122022,0.4085112,0.40627447,0.4050616,0.40471306,0.40462962,0.40463206,0.4045473,0.4043583,0.4041165,0.40369415,0.40259695,0.4009774,0.39991504,0.3995612,0.39983368,0.40304294,0.40951034
85,Lesotho,2.1658728,2.170325,2.1755373,2.1805103,2.1838176,2.183765,2.178142,2.16815,2.1571143,2.1477258,2.1426053,2.1418786,2.1428442,2.143754,2.1427991,2.1385841,2.0783188,2.02274,2.0535016,2.1422236
86,Liberia,0.50546384,0.50544524,0.505166,0.50472057,0.5044836,0.5043437,0.50401354,0.50324,0.50227416,0.5015269,0.5012188,0.5013439,0.50164,0.50199395,0.50213045,0.50195843,0.49924335,0.4972514,0.50332075,0.51674914
87,Libya,0.43718886,0.43617544,0.43470624,0.4331364,0.43182814,0.4311439,0.43112266,0.43147323,0.43192467,0.4320983,0.43187675,0.43114397,0.4298755,0.42831364,0.4267976,0.42567274,0.42440286,0.42342985,0.42363292,0.42460266
